n,lambda,E_inf,E_2,E_3
0,-3.213585502445729e-14,-3.125487570718322e-14,-3.191891195792716e-16,-5.617901976948002e-16
1,1.366002516574727,0.4652276247605782,0.45677373560610957,0.44400115620803915
2,5.123996900175945,1.8590744581497285,1.7268521467242954,1.5380702953019216
